Date,Actual_Sales,Predicted_Sales
2017-03-15,887,885.025700005004
2017-03-16,873,887.2465839228456
2017-03-17,872,879.6276998176327
2017-03-18,878,876.5345016074068
2017-03-19,899,873.349390897418
2017-03-20,880,881.5996347769978
2017-03-21,883,884.3278379424954
2017-03-22,892,886.3583410933546
2017-03-23,880,883.7021246702838
2017-03-24,890,883.792080872101
2017-03-25,891,886.1964827734487
2017-03-26,881,885.6242088155185
2017-03-27,865,886.1754010786032
2017-03-28,882,878.2336853183531
2017-03-29,893,875.1067511595002
2017-03-30,890,878.5878203593754
2017-03-31,867,886.9480308224471
2017-04-01,886,882.4303393679193
2017-04-02,888,880.0846073621241
2017-04-03,882,878.9608944689011
2017-04-04,888,884.1699768428191
2017-04-05,886,884.8378535047219
2017-04-06,874,884.0774863743015
2017-04-07,886,881.670218909707
2017-04-08,884,880.9611655469462
2017-04-09,869,880.075788280702
2017-04-10,872,878.760292010779
2017-04-11,904,874.2322338969618
2017-04-12,886,880.2458273694637
2017-04-13,900,885.7889326986711
2017-04-14,888,895.3826776703077
2017-04-15,893,889.9156409280945
2017-04-16,879,892.4356559150892
2017-04-17,877,885.4983740387319
2017-04-18,873,882.0874973312077
2017-04-19,876,875.405635556445
2017-04-20,894,874.3972044523227
2017-04-21,869,879.7121112213531
2017-04-22,891,878.551941784406
2017-04-23,875,883.6761364899077
2017-04-24,871,877.1125066918305
2017-04-25,880,878.2199597514004
2017-04-26,890,874.3463840290797
2017-04-27,873,879.0396593704661
2017-04-28,868,879.9059958641485
2017-04-29,883,876.2861909614968
2017-04-30,864,873.6579190167479
2017-05-01,883,870.7175133727975
2017-05-02,876,875.7860657938635
2017-05-03,878,873.1664508826665
2017-05-04,860,878.0372664088572
2017-05-05,860,870.5733778400739
2017-05-06,868,865.4955904167014
2017-05-07,876,861.9025983353886
2017-05-08,891,867.0037550480988
2017-05-09,873,877.0550701573194
2017-05-10,887,878.862757498228
2017-05-11,867,882.6628835245929
2017-05-12,840,874.6544188039929
2017-05-13,872,864.4489931431175
2017-05-14,870,859.1595982897672
2017-05-15,863,859.5615261429157
2017-05-16,864,867.6034801399343
2017-05-17,877,864.9997937658441
2017-05-18,863,867.0639725215186
2017-05-19,864,867.1168338670454
2017-05-20,882,867.3854015668383
2017-05-21,859,868.6523650080103
2017-05-22,877,867.4459503368043
2017-05-23,860,871.9393632366936
2017-05-24,852,864.4597928030117
2017-05-25,871,862.6133613238869
2017-05-26,854,860.29590509296
2017-05-27,867,858.2483174674849
2017-05-28,872,863.4139355460528
2017-05-29,850,863.3682682805486
2017-05-30,884,862.4095862864981
2017-05-31,855,867.8754067473903
2017-06-01,847,862.0439529292034
2017-06-02,879,861.8107461794373
2017-06-03,863,859.5334970402557
2017-06-04,861,861.9631471053547
2017-06-05,855,867.1139683037987
2017-06-06,856,859.115147305584
2017-06-07,851,856.831427023284
2017-06-08,851,853.5181939420164
2017-06-09,855,852.2591645974919
2017-06-10,858,851.8258730145465
2017-06-11,843,854.0587728736033
2017-06-12,852,851.6166981472106
2017-06-13,849,850.6987165893222
2017-06-14,856,847.513359207125
2017-06-15,849,851.8444204426917
2017-06-16,838,850.8380302608532
2017-06-17,862,847.4894119490327
2017-06-18,842,849.2084610735036
2017-06-19,856,846.7852650718024
2017-06-20,848,853.0126689444361
2017-06-21,859,848.1347439625607
2017-06-22,845,853.8406943005073
2017-06-23,834,850.1864134326036
2017-06-24,832,845.9612369359608
2017-06-25,841,837.0350373296808
2017-06-26,818,835.5053993630796
2017-06-27,844,830.3968865224765
2017-06-28,813,834.3645173709026
2017-06-29,823,824.9971767093677
2017-06-30,847,827.1158418119686
2017-07-01,829,827.374952117773
2017-07-02,830,832.7439365136512
2017-07-03,828,835.4814521049874
2017-07-04,839,829.0316411424817
2017-07-05,843,832.2269735436103
2017-07-06,816,836.335712313643
2017-07-07,830,832.787069512455
2017-07-08,822,829.9586884540006
2017-07-09,829,822.695155671131
2017-07-10,828,827.1303920198842
2017-07-11,820,826.3260672496971
2017-07-12,809,825.8502809805142
